participant_id,device,age_group,gender,task_completion_time,errors,satisfaction,ease_of_use,sus_score,would_recommend
1,mobile,25-34,Female,45.2,3,3,2,55.0,No
2,desktop,35-44,Male,28.1,0,5,5,87.5,Yes
3,mobile,18-24,Female,52.7,4,2,2,42.5,No
4,desktop,25-34,Male,22.3,1,4,4,80.0,Yes
5,mobile,35-44,Female,38.9,2,4,3,65.0,Yes
6,desktop,18-24,Male,30.5,1,5,4,82.5,Yes
7,mobile,25-34,Non-binary,48.1,3,3,3,57.5,No
8,desktop,45+,Female,25.7,0,5,5,90.0,Yes
9,mobile,18-24,Male,55.3,5,2,1,35.0,No
10,desktop,25-34,Female,19.8,0,5,5,92.5,Yes
11,mobile,35-44,Male,42.6,2,3,3,60.0,No
12,desktop,45+,Female,27.4,1,4,4,77.5,Yes
13,mobile,18-24,Non-binary,50.1,4,2,2,40.0,No
14,desktop,25-34,Male,23.9,0,5,5,85.0,Yes
15,mobile,35-44,Female,44.8,3,3,2,52.5,No
16,desktop,18-24,Male,31.2,1,4,4,75.0,Yes
17,mobile,25-34,Female,47.5,3,3,3,55.0,No
18,desktop,45+,Male,26.3,0,5,5,90.0,Yes
19,mobile,18-24,Female,53.9,4,2,1,37.5,No
20,desktop,35-44,Male,21.7,0,4,4,82.5,Yes
21,mobile,25-34,Female,41.3,2,3,3,62.5,Yes
22,desktop,18-24,Non-binary,29.8,1,5,5,85.0,Yes
23,mobile,45+,Male,46.7,3,3,2,50.0,No
24,desktop,25-34,Female,24.1,0,5,4,87.5,Yes
25,mobile,35-44,Male,39.5,2,4,3,67.5,Yes
26,desktop,18-24,Female,32.4,1,4,4,77.5,Yes
27,mobile,25-34,Male,51.8,4,2,2,45.0,No
28,desktop,45+,Female,23.6,0,5,5,92.5,Yes
29,mobile,18-24,Male,49.2,3,3,2,47.5,No
30,desktop,35-44,Non-binary,27.9,1,4,4,80.0,Yes
31,mobile,25-34,Female,43.7,2,3,3,57.5,No
32,desktop,18-24,Male,30.1,1,5,5,85.0,Yes
33,mobile,45+,Female,54.6,5,1,1,30.0,No
34,desktop,25-34,Male,20.5,0,5,4,90.0,Yes
35,mobile,35-44,Female,40.8,2,4,3,65.0,Yes
36,desktop,18-24,Male,28.7,0,4,4,80.0,Yes
37,mobile,25-34,Non-binary,46.3,3,3,2,52.5,No
38,desktop,45+,Male,25.2,0,5,5,87.5,Yes
39,mobile,18-24,Female,52.1,4,2,2,40.0,No
40,desktop,35-44,Male,22.8,1,5,5,85.0,Yes
41,mobile,25-34,Female,44.5,3,3,3,55.0,No
42,desktop,18-24,Female,33.6,1,4,4,75.0,Yes
43,mobile,35-44,Male,47.9,3,2,2,47.5,No
44,desktop,25-34,Male,21.4,0,5,5,92.5,Yes
45,mobile,45+,Female,50.3,4,2,2,42.5,No
46,desktop,18-24,Non-binary,29.5,1,4,4,80.0,Yes
47,mobile,25-34,Male,43.1,2,3,3,60.0,No
48,desktop,35-44,Female,26.8,0,5,5,87.5,Yes
49,mobile,18-24,Male,55.7,5,1,1,32.5,No
50,desktop,25-34,Female,24.6,0,4,4,82.5,Yes
51,mobile,35-44,Male,41.9,2,3,3,62.5,Yes
52,desktop,45+,Female,27.1,1,5,5,90.0,Yes
53,mobile,18-24,Male,48.4,3,3,2,50.0,No
54,desktop,25-34,Non-binary,23.2,0,5,4,85.0,Yes
55,mobile,35-44,Female,45.6,3,3,2,55.0,No
56,desktop,18-24,Male,31.8,1,4,4,77.5,Yes
57,mobile,25-34,Female,42.3,2,4,3,65.0,Yes
58,desktop,45+,Male,25.9,0,5,5,92.5,Yes
59,mobile,18-24,Female,53.2,4,2,1,37.5,No
60,desktop,35-44,Male,22.1,0,4,4,82.5,Yes
61,mobile,25-34,Male,46.8,3,3,2,52.5,No
62,desktop,18-24,Female,30.4,1,5,5,85.0,Yes
63,mobile,45+,Non-binary,49.7,4,2,2,45.0,No
64,desktop,25-34,Male,20.9,0,5,5,90.0,Yes
65,mobile,35-44,Female,39.1,2,4,3,67.5,Yes
66,desktop,18-24,Male,32.9,1,4,4,75.0,Yes
67,mobile,25-34,Female,51.4,4,2,2,42.5,No
68,desktop,45+,Male,24.3,0,5,5,87.5,Yes
69,mobile,18-24,Male,47.6,3,3,2,50.0,No
70,desktop,35-44,Female,28.5,1,4,4,80.0,Yes
71,mobile,25-34,Male,44.2,3,3,3,55.0,No
72,desktop,18-24,Non-binary,29.1,0,5,5,87.5,Yes
73,mobile,45+,Female,56.3,5,1,1,27.5,No
74,desktop,25-34,Male,21.8,0,5,4,90.0,Yes
75,mobile,35-44,Male,40.5,2,3,3,60.0,No
76,desktop,18-24,Female,33.1,1,4,4,77.5,Yes
77,mobile,25-34,Female,48.9,3,2,2,47.5,No
78,desktop,45+,Male,26.6,0,5,5,92.5,Yes
79,mobile,18-24,Male,54.1,4,2,1,35.0,No
80,desktop,35-44,Female,23.4,0,5,5,85.0,Yes
